rel,path,weight,freq,neg
affects,"['R_result_of', 'affects']",0.26315789,14110,6218
affects,"['causes', 'R_process_of']",0.26315789,3847,1335
affects,"['affects', 'precedes']",0.47368421,4178,850
affects,"['R_precedes', 'affects']",0.15789474,2766,684
affects,['R_result_of'],0.15789474,695,379
affects,"['R_disrupts', 'R_result_of']",0.26315789,306,148
affects,"['R_result_of', 'part_of']",0.10526316,1458,684
affects,"['affects', 'R_process_of']",0.26315789,17488,4728
affects,"['affects', 'R_interacts_with']",0.31578947,3056,704
affects,"['result_of', 'part_of']",0.15789474,1101,359
affects,"['isa', 'affects']",0.15789474,1982,428
affects,"['affects', 'interacts_with']",0.15789474,2968,616
affects,"['affects', 'isa']",0.31578947,4211,2209
contains,"['produces', 'R_consists_of']",1.0,101,19
measures,"['R_result_of', 'evaluation_of']",0.42857143,56,8
measures,"['method_of', 'R_issue_in']",0.57142857,1450,954
measures,"['measures', 'derivative_of', 'location_of']",0.42857143,135,55
measures,"['measures', 'R_causes']",0.42857143,1080,350
evaluation_of,"['manifestation_of', 'disrupts']",0.5,84,52
evaluation_of,"['co-occurs_with', 'evaluation_of']",0.5,64,8
evaluation_of,['manifestation_of'],0.5,179,125
evaluation_of,"['evaluation_of', 'R_isa']",1.0,120,12
evaluation_of,"['evaluation_of', 'R_method_of']",0.66666667,10,0
evaluation_of,"['evaluation_of', 'isa']",1.0,252,144
precedes,"['R_precedes', 'precedes']",1.0,416,92
precedes,"['analyzes', 'R_uses']",1.0,3,1
connected_to,['adjacent_to'],1.0,7,3
result_of,"['R_associated_with', 'performs']",0.75,200,100
result_of,"['result_of', 'result_of', 'R_result_of']",0.75,11217,1117
result_of,"['result_of', 'result_of']",0.25,14322,4714
treats,"['manages', 'manages']",0.33333333,4,0
treats,['prevents'],1.0,50,12
treats,"['R_uses', 'treats']",1.0,116,60
treats,"['uses', 'complicates']",1.0,67,35
practices,"['practices', 'issue_in']",0.66666667,4,0
co-occurs_with,"['isa', 'co-occurs_with']",0.45454545,38,8
co-occurs_with,"['R_conceptually_related_to', 'complicates']",0.090909091,14,6
co-occurs_with,"['R_affects', 'carries_out']",0.27272727,17,5
co-occurs_with,"['R_associated_with', 'treats']",0.45454545,111,59
co-occurs_with,"['isa', 'R_precedes']",0.27272727,74,36
co-occurs_with,"['R_measurement_of', 'R_affects']",0.27272727,63,33
co-occurs_with,['precedes'],0.18181818,89,49
co-occurs_with,"['result_of', 'treats']",0.36363636,129,71
co-occurs_with,"['R_diagnoses', 'causes']",0.18181818,103,47
co-occurs_with,['R_precedes'],0.27272727,88,50
produces,"['R_disrupts', 'R_causes']",0.071428571,444,292
produces,"['produces', 'interacts_with']",0.75,1685,845
produces,"['R_isa', 'produces']",0.10714286,949,603
produces,['uses'],0.89285714,90,20
produces,"['isa', 'produces']",0.85714286,426,80
produces,"['contains', 'consists_of']",0.071428571,113,31
produces,"['process_of', 'produces']",0.14285714,2219,609
