rel,path,weight,freq,neg
_member_of_domain_usage,"['_member_of_domain_usage', 'R__hypernym', 'R__hypernym', 'R__hypernym']",1.0,144,132
_member_of_domain_usage,"['_member_of_domain_usage', 'R__hypernym']",1.0,199,137
_member_of_domain_usage,"['_member_of_domain_usage', '_hypernym', 'R__hypernym']",1.0,7481,5437
_member_of_domain_usage,"['_member_of_domain_usage', '_hypernym']",1.0,632,570
_member_of_domain_usage,"['_member_of_domain_usage', '_hypernym', 'R__hypernym', 'R__hypernym']",1.0,9336,7168
_member_of_domain_usage,"['_member_of_domain_region', '_hypernym']",1.0,356,352
_also_see,['R__also_see'],1.0,1857,201
_also_see,"['_also_see', '_also_see']",1.0,3048,2490
_also_see,['_verb_group'],1.0,95,93
_also_see,['R__hypernym'],1.0,1304,1228
_also_see,"['_derivationally_related_form', 'R__derivationally_related_form']",1.0,2507,2341
_hypernym,"['_derivationally_related_form', '_hypernym', '_derivationally_related_form']",1.0,11642,7844
_hypernym,"['_synset_domain_topic_of', 'R__synset_domain_topic_of', '_hypernym']",1.0,52285,44137
_hypernym,"['_derivationally_related_form', 'R__hypernym', '_derivationally_related_form', '_hypernym']",0.2,19647,17601
_hypernym,"['R__member_meronym', '_member_meronym', '_hypernym']",1.0,15335,29523
_hypernym,"['R__derivationally_related_form', '_derivationally_related_form', '_hypernym']",1.0,15331,11467
_hypernym,"['_derivationally_related_form', 'R__derivationally_related_form']",1.0,64228,62122
_has_part,"['_hypernym', 'R__hypernym', '_has_part']",0.25,40946,40646
_has_part,"['_derivationally_related_form', '_derivationally_related_form']",1.0,2029,1979
_has_part,"['_hypernym', 'R__hypernym']",1.0,46125,45617
_has_part,"['_member_meronym', 'R__hypernym']",1.0,125,119
_has_part,"['R__synset_domain_topic_of', '_synset_domain_topic_of', '_has_part']",1.0,546,534
_has_part,"['_has_part', '_hypernym', 'R__hypernym']",1.0,39439,36507
_has_part,"['_instance_hypernym', 'R__instance_hypernym', '_has_part']",1.0,54727,53727
_has_part,"['_has_part', 'R__instance_hypernym']",1.0,627,339
_has_part,"['_has_part', '_has_part']",1.0,7428,7156
_has_part,"['_has_part', '_instance_hypernym', 'R__instance_hypernym']",1.0,1296,46952
_verb_group,['R__verb_group'],1.0,2160,40
_verb_group,"['R__derivationally_related_form', '_derivationally_related_form']",0.66666667,6496,5054
_synset_domain_topic_of,"['_hypernym', 'R__hypernym', '_synset_domain_topic_of']",1.0,40373,32225
_similar_to,['R__similar_to'],0.5,149,1
_member_of_domain_region,"['_member_of_domain_region', '_hypernym', 'R__hypernym', 'R__hypernym']",1.0,3479,3345
_member_of_domain_region,"['_has_part', 'R__has_part']",1.0,544,534
_member_of_domain_region,"['_member_of_domain_region', '_synset_domain_topic_of', 'R__synset_domain_topic_of']",1.0,24001,23101
_member_of_domain_region,"['_member_of_domain_region', '_hypernym', 'R__hypernym']",1.0,4608,4176
_instance_hypernym,"['R__has_part', '_has_part', '_instance_hypernym']",1.0,60556,40676
_derivationally_related_form,"['_derivationally_related_form', '_derivationally_related_form', '_derivationally_related_form']",1.0,40058,3988
_derivationally_related_form,['R__derivationally_related_form'],1.0,58206,2818
_derivationally_related_form,"['_hypernym', '_derivationally_related_form', 'R__hypernym']",1.0,12973,9177
_derivationally_related_form,"['_also_see', '_derivationally_related_form']",0.66666667,2876,2710
_member_meronym,"['_member_meronym', '_hypernym', 'R__hypernym']",1.0,7519,21707
_member_meronym,"['R__member_meronym', 'R__member_meronym', '_member_meronym', 'R__hypernym']",1.0,36699,34287
_member_meronym,"['_hypernym', 'R__member_meronym', '_member_meronym', 'R__hypernym']",1.0,10599,6377
_member_meronym,"['_has_part', '_hypernym']",0.33333333,67,61
_member_meronym,"['R__member_meronym', '_member_meronym', 'R__hypernym', 'R__hypernym']",1.0,13689,13283
_member_meronym,"['_member_meronym', 'R__hypernym', 'R__member_meronym']",1.0,9479,7743
_member_meronym,"['_member_meronym', '_member_meronym', '_hypernym']",1.0,10633,8897
_member_meronym,"['R__member_meronym', '_member_meronym', 'R__hypernym']",1.0,52006,50270
